ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
tipasekontomo-go-in-group-pst-pl-2-pl,tipa-go-in-group,pl,tipasekontomo-go-in-group-pst-pl-2,
tainpetiri-3p-see-plur-ipfv-0-3,inpeti-see-plur,3,tainpetiri-3p-see-plur-ipfv-0,
tainpetiri-3p-see-plur-ipfv-3-ipfv,inpeti-see-plur,ipfv,tainpetiri-3p-see-plur-ipfv-3,
inpeti-see-plur-ipfv-2-ipfv,inpeti-see-plur,ipfv,inpeti-see-plur-ipfv-2,
wenakajpe-vomit-pst-1-pst,wenaka-vomit,pst,wenakajpe-vomit-pst-1,
wenarujpe-vomit-pert-pst-1-pert,wena-vomit,pert,wenarujpe-vomit-pert-pst-1,
wenarujpe-vomit-pert-pst-2-pst,wena-vomit,pst,wenarujpe-vomit-pert-pst-2,
nwajtekonton-dance-ipfv-pl-1-ipfv,nwajte-dance,ipfv,nwajtekonton-dance-ipfv-pl-1,
nwajtekonton-dance-ipfv-pl-2-pl,nwajte-dance,pl,nwajtekonton-dance-ipfv-pl-2,
tipapejsejne-go-in-group-plur-pst-pl-2-pst,tipapej-go-in-group-plur,pst,tipapejsejne-go-in-group-plur-pst-pl-2,
tipapejsejne-go-in-group-plur-pst-pl-3-pl,tipapej-go-in-group-plur,pl,tipapejsejne-go-in-group-plur-pst-pl-3,
waijtajne-mouse-pl-1-pl,waijta-mouse,pl,waijtajne-mouse-pl-1,
wonse-enter-pst-1-pst,won-enter,pst,wonse-enter-pst-1,
tiwij-3-house-pert-0-3,iwij-house,3,tiwij-3-house-pert-0,
tiwij-3-house-pert-2-pert,iwij-house,pert,tiwij-3-house-pert-2,
