ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
eseneri-see-self-acnnmlz,yab,esene-ri,eseneri-see-self-acnnmlz,see_self-ACNNMLZ,es ene ri,,,,
seneri-see-self-acnnmlz,yab,sene-ri,seneri-see-self-acnnmlz,see_self-ACNNMLZ,s ene ri,,,,
rokotapeti-become-crazy-plur,yab,rokota-pëti,rokotapeti-become-crazy-plur,become_crazy-PLUR,roko ta pëti,,,,
patakajpe-take-out-pst-acnnmlz,yab,pataka-jpë,patakajpe-take-out-pst-acnnmlz,take_out-PST.ACNNMLZ,pata ka jpë,,,,
wajpej-burn-plur,yab,waj-pëj,wajpej-burn-plur,burn-PLUR,waj pëj,,,,
senkase-finish-ptcp,yab,s-ënka-se,senkase-finish-ptcp,finish-PTCP; finish-SUP,s ënka se,,,,
yeke-tooth-prop,yab,ye-ke,yeke-tooth-prop,tooth-PROP,ye ke,,,,
pojtepo-want-des,yab,pojtë-po,pojtepo-want-des,want-DES,pojtë po,,,,
warotase-work-ptcp,yab,warota-se,warotase-work-ptcp,work-PTCP; work-SUP,warota se,,,,
warotari-work-acnnmlz,yab,warota-ri,warotari-work-acnnmlz,work-ACNNMLZ,warota ri,,,,
iri-put-acnnmlz,yab,i-ri,iri-put-acnnmlz,put-ACNNMLZ,i ri,,,,
naijtopo-do-circ-nmlz,yab,naij-topo,naijtopo-do-circ-nmlz,do-CIRC.NMLZ,naij topo,,,,
warotane-work-inf,yab,warota-në,warotane-work-inf,work-INF,warota në,,,,
senkapeti-finish-plur,yab,s-ënka-pëti,senkapeti-finish-plur,finish-PLUR,s ënka pëti,,,,
sempinukuri-close-eyes-acnnmlz,yab,sëmpinuku-ri,sempinukuri-close-eyes-acnnmlz,close_eyes-ACNNMLZ,sëmpinuku ri,,,,
senkapej-finish-plur,yab,s-ënka-pëj,senkapej-finish-plur,finish-PLUR,s ënka pëj,,,,
wajsape-burn-abs-nmlz,yab,waj-sapë,wajsape-burn-abs-nmlz,burn-ABS.NMLZ,waj sapë,,,,
ijmojkase-cook-ptcp,yab,ijmojka-se,ijmojkase-cook-ptcp,cook-PTCP; cook-SUP,ijmojka se,,,,
ijmojkari-cook-acnnmlz,yab,ijmojka-ri,ijmojkari-cook-acnnmlz,cook-ACNNMLZ,ijmojka ri,,,,
minteno-there-loc-nmlz,yab,mïntë-no,minteno-there-loc-nmlz,there.LOC-NMLZ,mïntë no,,,,
tuni-give-agtnmlz,yab,tu-ni,tuni-give-agtnmlz,give-AGTNMLZ,tu ni,,,,
wejkapeti-fall-plur,yab,wëjka-pëti,wejkapeti-fall-plur,fall-PLUR,wëjka pëti,,,,
yapejpo-grab-des,yab,yapëj-po,yapejpo-grab-des,grab-DES,yapëj po,,,,
karasakemi-white-nmlz,yab,karasake-mï,karasakemi-white-nmlz,white-NMLZ,karasake mï,,,,
asakeno-two-nmlz,yab,asakë-no,asakeno-two-nmlz,two-NMLZ,asakë no,,,,
ipo-put-des,yab,i-po,ipo-put-des,put-DES,i po,,,,
semase-die-ptcp,yab,sëma-se,semase-die-ptcp,die-PTCP; die-SUP,sëma se,,,,
tepej-go-plur,yab,të-pëj,tepej-go-plur,go-PLUR,të pëj,,,,
wepiri-come-acnnmlz,yab,wepï-ri,wepiri-come-acnnmlz,come-ACNNMLZ,wepï ri,,,,
winikiri-sleep-acnnmlz,yab,wïnïkï-ri,winikiri-sleep-acnnmlz,sleep-ACNNMLZ,wïnïkï ri,,,,
sejpejse-dream-ptcp,yab,sejpëj-se,sejpejse-dream-ptcp,dream-PTCP; dream-SUP,sej pëj se,,,,
sejpetiri-dream-acnnmlz,yab,sejpëti-ri,sejpetiri-dream-acnnmlz,dream-ACNNMLZ,sej pëti ri,,,,
sojpase-take-out-ptcp,yab,sojpa-se,sojpase-take-out-ptcp,take_out-PTCP; take_out-SUP,sojpa se,,,,
