ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
neme-leave-ipfv-1-ipfv,neme-leave,ipfv,neme-leave-ipfv-1,
meinpo-2-see-des-ipfv-0-2,inpo-see-des,2,meinpo-2-see-des-ipfv-0,
meinpo-2-see-des-ipfv-3-ipfv,inpo-see-des,ipfv,meinpo-2-see-des-ipfv-3,
meini-2-see-ipfv-0-2,ini-see,2,meini-2-see-ipfv-0,
meini-2-see-ipfv-2-ipfv,ini-see,ipfv,meini-2-see-ipfv-2,
nonori-earth-pert-1-pert,nono-earth,pert,nonori-earth-pert-1,
waimuru-speak-ipfv-1-ipfv,waimu-speak,ipfv,waimuru-speak-ipfv-1,
yape-lk-arm-wing-pert-2-pert,ape-arm-wing,pert,yape-lk-arm-wing-pert-2,
tejwej-3-hammock-pert-0-3,ejwe-hammock,3,tejwej-3-hammock-pert-0,
tejwej-3-hammock-pert-2-pert,ejwe-hammock,pert,tejwej-3-hammock-pert-2,
yaperi-lk-arm-wing-pert-2-pert,ape-arm-wing,pert,yaperi-lk-arm-wing-pert-2,
moronta-hurt-ipfv-1-ipfv,moronta-hurt,ipfv,moronta-hurt-ipfv-1,
uyape-1-lk-arm-wing-pert-0-1,ape-arm-wing,1,uyape-1-lk-arm-wing-pert-0,
uyape-1-lk-arm-wing-pert-3-pert,ape-arm-wing,pert,uyape-1-lk-arm-wing-pert-3,
senejkari-stay-ipfv-1-1-ipfv,senejka-stay,ipfv,senejkari-stay-ipfv-1-1,
weretasaj-arrive-pfv-1-pfv,wereta-arrive,pfv,weretasaj-arrive-pfv-1,
ita-hear-ipfv-1-ipfv,ita-hear,ipfv,ita-hear-ipfv-1,
ijtesape-3-go-pfv-0-3,te-go,3,ijtesape-3-go-pfv-0,
ijtesape-3-go-pfv-2-pfv,te-go,pfv,ijtesape-3-go-pfv-2,
imuku-3-child-pert-0-3,muku-child,3,imuku-3-child-pert-0,
imuku-3-child-pert-2-pert,muku-child,pert,imuku-3-child-pert-2,
sepantepeke-get-married-prog-intr-1-prog,sepan-get-married,prog,sepantepeke-get-married-prog-intr-1,
yeni-drink-ipfv-1-1-ipfv,yeni-drink,ipfv,yeni-drink-ipfv-1-1,
yenpo-drink-des-ipfv-2-ipfv,yenpo-drink-des,ipfv,yenpo-drink-des-ipfv-2,
asamo-cry-ipfv-1-ipfv,asamo-cry,ipfv,asamo-cry-ipfv-1,
tayarese-3p-bring-pst-0-3,yare-bring,3,tayarese-3p-bring-pst-0,
tayarese-3p-bring-pst-2-pst,yare-bring,pst,tayarese-3p-bring-pst-2,
tewijpe-3pro-pst-1-pst,tewi-3pro,pst,tewijpe-3pro-pst-1,
imukurujpe-3-child-pert-pst-0-3,muku-child,3,imukurujpe-3-child-pert-pst-0,
imukurujpe-3-child-pert-pst-2-pert,muku-child,pert,imukurujpe-3-child-pert-pst-2,
imukurujpe-3-child-pert-pst-3-pst,muku-child,pst,imukurujpe-3-child-pert-pst-3,
chija-cop-neg-1-neg,chi-cop,neg,chija-cop-neg-1,
tayapejse-3p-grab-pst-0-3,yapej-grab,3,tayapejse-3p-grab-pst-0,
tayapejse-3p-grab-pst-2-pst,yapej-grab,pst,tayapejse-3p-grab-pst-2,
tayempekase-3p-offend-pst-0-3,yempeka-offend,3,tayempekase-3p-offend-pst-0,
tayempekase-3p-offend-pst-2-pst,yempeka-offend,pst,tayempekase-3p-offend-pst-2,
tayakaramase-3p-tell-pst-0-3,yakarama-tell,3,tayakaramase-3p-tell-pst-0,
tayakaramase-3p-tell-pst-2-pst,yakarama-tell,pst,tayakaramase-3p-tell-pst-2,
mewaraijtori-2-husband-pert-0-2,waraijto-husband,2,mewaraijtori-2-husband-pert-0,
mewaraijtori-2-husband-pert-2-pert,waraijto-husband,pert,mewaraijtori-2-husband-pert-2,
yempekapeti-offend-plur-ipfv-2-ipfv,yempekapeti-offend-plur,ipfv,yempekapeti-offend-plur-ipfv-2,
keyetajpe-grow-pst-1-pst,keyeta-grow,pst,keyetajpe-grow-pst-1,
keyetase-grow-pst-1-pst,keyeta-grow,pst,keyetase-grow-pst-1,
yojte-fish-with-hook-ipfv-1-ipfv,yojte-fish-with-hook,ipfv,yojte-fish-with-hook-ipfv-1,
yomiri-be-hungry-ipfv-1-ipfv,yomi-be-hungry,ipfv,yomiri-be-hungry-ipfv-1,
asamori-cry-ipfv-1-ipfv,asamo-cry,ipfv,asamori-cry-ipfv-1,
ipakuri-3-arrow-tip-pert-0-3,paku-arrow-tip,3,ipakuri-3-arrow-tip-pert-0,
ipakuri-3-arrow-tip-pert-2-pert,paku-arrow-tip,pert,ipakuri-3-arrow-tip-pert-2,
nepi-bring-ipfv-1-ipfv,nepi-bring,ipfv,nepi-bring-ipfv-1,
yakono-lk-younger-sister-of-woman-pert-2-pert,akono-younger-sister-of-woman,pert,yakono-lk-younger-sister-of-woman-pert-2,
ijmojkake-cook-imp-1-imp,ijmojka-cook,imp,ijmojkake-cook-imp-1,
i-put-ipfv-1-ipfv,i-put,ipfv,i-put-ipfv-1,
ijmojka-cook-ipfv-1-ipfv,ijmojka-cook,ipfv,ijmojka-cook-ipfv-1,
patajpe-axe-pst-1-pst,pata-axe,pst,patajpe-axe-pst-1,
yare-bring-ipfv-1-ipfv,yare-bring,ipfv,yare-bring-ipfv-1,
taturu-3p-give-ipfv-0-3,tu-give,3,taturu-3p-give-ipfv-0,
taturu-3p-give-ipfv-2-ipfv,tu-give,ipfv,taturu-3p-give-ipfv-2,
tujpe-give-pst-1-pst,tu-give,pst,tujpe-give-pst-1,
keyatajpe-grow-pst-1-pst,keyata-grow,pst,keyatajpe-grow-pst-1,
yeme-eat-fruits-eggs-soup-ipfv-1-ipfv,yeme-eat-fruits-eggs-soup,ipfv,yeme-eat-fruits-eggs-soup-ipfv-1,
yokiri-eat-starch-ipfv-1-ipfv,yoki-eat-starch,ipfv,yokiri-eat-starch-ipfv-1,
sepanse-get-married-pst-1-pst,sepan-get-married,pst,sepanse-get-married-pst-1,
keyatase-grow-pst-1-pst,keyata-grow,pst,keyatase-grow-pst-1,
tese-go-pst-1-pst,te-go,pst,tese-go-pst-1,
padrastro-stepfather-pert-1-pert,padrastro-stepfather,pert,padrastro-stepfather-pert-1,
keyamase-raise-pst-1-pst,keyama-raise,pst,keyamase-raise-pst-1,
tapaja-beat-neg-1-neg,tapa-beat,neg,tapaja-beat-neg-1,
yiwij-lk-house-pert-2-pert,iwij-house,pert,yiwij-lk-house-pert-2,
senejka-stay-ipfv-1-ipfv,senejka-stay,ipfv,senejka-stay-ipfv-1,
iyajteri-care-for-ipfv-1-ipfv,iyajte-care-for,ipfv,iyajteri-care-for-ipfv-1,
umakeri-1-mom-pert-0-1,make-mom,1,umakeri-1-mom-pert-0,
umakeri-1-mom-pert-2-pert,make-mom,pert,umakeri-1-mom-pert-2,
upatakase-1-take-out-pst-0-1,pataka-take-out,1,upatakase-1-take-out-pst-0,
upatakase-1-take-out-pst-2-pst,pataka-take-out,pst,upatakase-1-take-out-pst-2,
